#Region	18-29	30-39	40-49	50-64	65-74	75-84
1	male	1102	796	1003	1453	927	471
1	female	996	764	971	1425	919	565
2	male	546	382	508	751	501	243
2	female	489	373	490	732	492	288
3	male	349	243	315	505	324	169
3	female	300	229	299	477	315	206
4	male	1138	1080	1047	1169	595	257
4	female	1133	1048	1021	1167	652	345
5	male	529	441	434	522	276	132
5	female	524	426	425	520	290	169
6	male	365	313	283	337	186	92
6	female	374	301	273	338	202	120
7	male	1265	885	917	1175	681	333
7	female	1222	833	898	1188	728	436
